part_name,total_dimension_count,linear_dimension_count,diameter_dimension_count,radius_dimension_count,angular_dimension_count,hole_fit_count,shaft_fit_count,n_dia_tol,n_lin_tol,stats_dim_tol_lin_min,stats_dim_tol_lin_max,stats_dim_tol_lin_avg,stats_dim_tol_dia_min,stats_dim_tol_dia_max,stats_dim_tol_dia_avg,surface_spec_count,stats_surface_min,stats_surface_max,stats_surface_avg,has_concentricity,has_flatness,has_parallelism,has_perpendicularity,has_position,total_tolerance_count,gtol_max_datum_refs,gtol_share_with_datum,stats_geom_tol_min,stats_geom_tol_max,stats_geom_tol_avg,Processes
Buchse_Schwenkwelle_fest,16,10,2,3,1,2,1,0,2,0.2,1.0,0.6,,,,2,6.0,25.0,15.5,0,0,0,1,1,6,2,1.0,0.03,0.2,0.07,['drehen']
CMod_00000007720-A,34,24,6,4,0,3,1,0,1,0.2,0.2,0.2,,,,0,,,,1,0,0,1,1,7,2,0.8571428571428571,0.05,0.5,0.2142857142857142,"['drehen', 'fräsen']"
CMod_00000007727-A,20,10,4,4,2,0,1,0,2,0.1,0.1,0.1,,,,0,,,,1,0,1,1,0,5,1,1.0,0.4,0.4,0.4,"['drehen', 'fräsen']"
CMod_00000007733-C,13,10,0,3,0,0,0,0,7,0.2,1.0,0.6285714285714287,,,,0,,,,0,1,0,1,0,2,1,0.5,0.02,0.03,0.025,"['drehen', 'fräsen']"
CMod_00000012082_A,2,1,1,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000016743-B,7,7,0,0,0,0,0,0,0,,,,,,,1,40.0,40.0,40.0,0,1,0,1,0,4,1,0.75,0.1,0.1,0.1,"['drehen', 'bohren']"
CMod_00000016969-A,17,15,1,1,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000017599-A,7,4,2,1,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000017931-A,6,1,4,0,1,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000019011-B,16,10,3,2,1,1,0,0,0,,,,,,,3,10.0,100.0,45.0,0,1,0,1,1,7,1,0.8571428571428571,0.05,0.1,0.0928571428571428,"['drehen', 'bohren']"
CMod_00000019046-A,8,3,2,3,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000024855-A,6,6,0,0,0,0,3,0,0,,,,,,,2,6.0,25.0,15.5,1,0,0,1,0,3,1,0.3333333333333333,0.02,0.3,0.2066666666666666,['drehen']
CMod_00000028586-A,16,8,4,3,1,1,1,1,0,,,,1.0,1.0,1.0,2,6.0,25.0,15.5,0,0,0,0,1,6,2,0.8333333333333334,0.03,0.2,0.0583333333333333,['drehen']
CMod_00000028866-A,13,7,4,0,2,0,0,0,0,,,,,,,0,,,,1,0,1,1,1,7,1,0.7142857142857143,0.3,0.3,0.3,"['fräsen', 'drehen']"
CMod_00000029011-A,5,5,0,0,0,1,0,0,2,1.0,1.0,1.0,,,,2,25.0,100.0,62.5,0,1,0,1,1,5,2,0.8,0.03,0.5,0.172,['drehen']
CMod_00000029020-A,17,10,2,3,2,1,2,0,1,0.2,0.2,0.2,,,,4,6.0,100.0,35.25,0,1,0,1,1,5,2,0.8,0.06,0.2,0.1319999999999999,"['drehen', 'bohren']"
CMod_00000029114-A,23,9,6,4,4,2,2,0,2,0.2,0.2,0.2,,,,3,6.0,100.0,43.66666666666666,0,1,0,0,1,2,2,0.5,0.2,0.2,0.2,"['drehen', 'bohren']"
CMod_00000030487-A,5,3,2,0,0,2,0,0,0,,,,,,,1,100.0,100.0,100.0,1,1,0,1,1,5,2,0.8,0.1,0.5,0.2799999999999999,['drehen']
CMod_00000035058-A,5,1,4,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000035412_A,4,2,2,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000036310_A,5,3,2,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000048866-A,5,2,1,1,1,0,0,0,0,,,,,,,1,63.0,63.0,63.0,0,1,0,1,0,3,1,0.6666666666666666,0.2,0.3,0.2666666666666666,['drehen']
CMod_00000051561-A,7,3,1,1,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,4,2,0.75,0.15,0.2,0.1875,"['drehen', 'bohren']"
CMod_00000053641-A,23,13,4,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000067557-A,18,13,1,1,3,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000067567-A,3,1,2,0,0,0,0,1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,40.0,40.0,40.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000067570-A,15,11,4,0,0,0,0,1,0,,,,0.012,0.012,0.012,0,,,,0,0,0,0,1,3,3,1.0,0.2,0.5,0.3333333333333333,['fräsen']
CMod_00000067594-A,8,5,3,0,0,0,0,2,1,0.2,0.2,0.2,0.1,0.2,0.15,1,40.0,40.0,40.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000067729-A,6,3,3,0,0,0,0,2,1,0.1,0.1,0.1,0.1,0.2,0.15,1,40.0,40.0,40.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000067775-A,22,19,1,2,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,1,1,3,1.0,0.3,0.3,0.3,['fräsen']
CMod_00000067829-A,12,5,5,1,1,0,0,3,0,,,,0.1,0.1,0.1,1,63.0,63.0,63.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000067926-A,18,9,5,3,1,0,0,2,1,0.1,0.1,0.1,0.1,0.1,0.1,1,40.0,40.0,40.0,0,0,0,0,0,0,0,0.0,,,,"['drehen', 'fräsen']"
CMod_00000067980-A,20,20,0,0,0,0,0,0,3,0.4,0.5,0.4666666666666666,,,,0,,,,0,1,0,1,0,4,3,0.75,0.3,0.3,0.3,['fräsen']
CMod_00000067989-A,7,4,2,0,1,0,0,0,0,,,,,,,1,40.0,40.0,40.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000068019-A,24,18,3,1,2,0,0,0,2,0.4,0.4,0.4,,,,0,,,,0,0,0,0,0,2,1,1.0,0.5,0.5,0.5,['fräsen']
CMod_00000071926-A,29,15,6,4,4,0,0,2,1,0.3,0.3,0.3,0.1,0.3,0.2,3,25.0,63.0,50.333333333333336,0,1,1,0,0,2,1,0.5,0.05,0.1,0.075,"['drehen', 'fräsen']"
CMod_00000071928-A,22,13,3,6,0,0,0,0,1,0.3,0.3,0.3,,,,2,25.0,63.0,44.0,0,1,0,0,1,2,2,0.5,0.1,0.2,0.15,['fräsen']
CMod_00000071934-A,8,3,5,0,0,1,1,0,2,0.2,0.4,0.3,,,,1,6.0,6.0,6.0,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000071942-A,24,21,2,0,1,1,0,0,0,,,,,,,3,16.0,25.0,19.0,0,1,1,0,1,6,2,1.0,0.05,0.4,0.15,['fräsen']
CMod_00000071950-A,39,24,6,4,5,0,1,3,9,0.1,20.0,2.655555555555556,0.03,0.1,0.0766666666666666,3,10.0,40.0,25.0,1,0,0,1,0,5,1,0.8,0.01,0.1,0.05,"['drehen', 'fräsen']"
CMod_00000071951-A,30,17,7,4,2,3,1,0,2,0.2,0.2,0.2,,,,3,6.0,25.0,15.666666666666666,1,1,0,1,1,9,2,0.7777777777777778,0.02,0.4,0.0988888888888888,"['drehen', 'fräsen']"
CMod_00000071961-A,16,13,2,0,1,0,0,2,2,0.1,0.4,0.25,0.1,0.5,0.3,3,25.0,63.0,37.66666666666666,0,1,0,0,0,1,0,0.0,0.05,0.05,0.05,['fräsen']
CMod_00000071998-A,15,9,2,2,2,1,0,1,1,0.2,0.2,0.2,0.1,0.1,0.1,3,25.0,63.0,37.66666666666666,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000072009-A,18,15,2,0,1,1,0,0,1,0.4,0.4,0.4,,,,3,25.0,63.0,37.66666666666666,0,1,1,0,0,3,1,0.6666666666666666,0.1,0.2,0.1333333333333333,['fräsen']
CMod_00000080306-A,42,22,11,6,3,1,4,2,7,0.1,0.2,0.1714285714285714,0.1,0.1,0.1,3,6.0,25.0,18.666666666666668,1,0,0,1,0,4,1,1.0,0.01,0.1,0.0375,"['drehen', 'fräsen']"
CMod_00000081378-A,22,11,8,3,0,1,1,6,3,0.2,0.2,0.2,0.05,0.2,0.125,4,6.0,25.0,15.5,1,0,0,1,0,3,1,1.0,0.01,0.02,0.0133333333333333,['drehen']
CMod_00000081709-A,27,14,5,4,4,0,2,0,4,0.1,0.2,0.15,,,,0,,,,1,0,0,0,0,3,1,1.0,0.02,0.1,0.0733333333333333,"['drehen', 'fräsen']"
CMod_00000087006_A,11,4,4,0,3,0,0,1,0,,,,1.0,1.0,1.0,0,,,,0,0,0,0,0,0,0,0.0,,,,['drehen']
CMod_00000087241-A,20,14,3,0,3,0,0,0,0,,,,,,,3,6.0,6.0,6.0,0,1,1,1,1,9,2,0.4444444444444444,0.05,0.1,0.0888888888888888,"['drehen', 'fräsen']"
CMod_00000087444-A,17,11,4,0,2,0,0,0,0,,,,,,,0,,,,0,1,1,1,0,5,1,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000090014-B,11,6,4,0,1,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,4,2,0.75,0.2,1.0,0.4499999999999999,"['drehen', 'fräsen']"
CMod_00000090015-B,11,6,4,0,1,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,4,2,0.75,0.2,1.0,0.4499999999999999,"['drehen', 'fräsen']"
CMod_00000091203-A,24,12,3,2,7,1,0,0,0,,,,,,,0,,,,0,0,1,1,1,5,2,1.0,0.1,0.3,0.22,"['drehen', 'fräsen']"
CMod_00000092904-A,43,33,1,7,2,1,1,0,1,0.4,0.4,0.4,,,,1,25.0,25.0,25.0,0,0,0,0,0,0,0,0.0,,,,"['drehen', 'fräsen']"
CMod_00000092906-A,14,9,1,3,1,0,0,1,0,,,,0.022,0.022,0.022,0,,,,0,0,0,1,0,1,1,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000092913-A,16,9,3,2,2,0,1,0,0,,,,,,,1,25.0,25.0,25.0,0,0,0,0,0,0,0,0.0,,,,"['drehen', 'fräsen']"
CMod_00000092918-A,49,30,6,9,4,0,2,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000092931-A,5,3,1,0,1,0,0,0,0,,,,,,,1,25.0,25.0,25.0,0,0,0,0,1,1,1,1.0,0.3,0.3,0.3,"['drehen', 'fräsen']"
CMod_00000093575-A,20,12,2,4,2,0,0,0,0,,,,,,,1,40.0,40.0,40.0,0,1,1,1,1,8,2,0.875,0.05,0.1,0.0875,"['drehen', 'fräsen']"
CMod_00000093996-A,14,9,3,0,2,0,0,1,0,,,,0.3,0.3,0.3,0,,,,0,1,0,1,1,4,2,0.75,0.2,0.5,0.325,"['drehen', 'bohren']"
CMod_00000096122-B,22,12,4,0,6,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,8,2,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000096134-B,39,26,7,2,4,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,15,2,1.0,0.1,0.1,0.1,['fräsen']
CMod_00000096142-C,39,29,6,0,4,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,15,2,1.0,0.1,0.1,0.1,['fräsen']
CMod_00000096161-B,37,24,6,0,7,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,15,2,1.0,0.1,0.1,0.1,['fräsen']
CMod_00000096204-A,22,17,4,0,1,0,0,0,0,,,,,,,0,,,,0,1,1,1,1,8,2,0.875,0.05,0.1,0.08125,"['drehen', 'fräsen']"
CMod_00000096235-A,27,14,4,5,4,0,0,0,0,,,,,,,0,,,,0,1,0,0,1,5,2,0.8,0.05,0.1,0.0699999999999999,"['drehen', 'fräsen']"
CMod_00000096339-A,22,14,4,0,4,0,0,0,0,,,,,,,0,,,,0,1,1,1,1,8,2,0.875,0.05,0.1,0.08125,"['drehen', 'fräsen']"
CMod_00000096358-A,30,16,3,6,5,0,0,0,0,,,,,,,0,,,,0,1,0,0,1,5,2,0.8,0.05,0.1,0.0699999999999999,['fräsen']
CMod_00000096364-B,22,11,4,0,7,0,0,0,0,,,,,,,2,6.0,6.0,6.0,0,1,1,1,1,8,2,0.875,0.05,0.1,0.08125,"['drehen', 'fräsen']"
CMod_00000096370-A,19,11,4,0,4,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,8,2,1.0,0.1,0.1,0.1,"['drehen', 'fräsen']"
CMod_00000096376-A,37,28,6,0,3,0,0,0,0,,,,,,,0,,,,0,1,1,1,1,16,2,0.9375,0.1,0.1,0.1,['fräsen']
CMod_00000096382-A,50,34,9,0,7,0,0,0,0,,,,,,,0,,,,0,0,1,1,1,22,2,1.0,0.1,0.1,0.1,['fräsen']
CMod_00000096465-A,21,13,5,1,2,0,0,0,0,,,,,,,4,6.0,6.0,6.0,0,0,1,1,1,6,1,0.6666666666666666,0.1,0.1,0.0999999999999999,"['drehen', 'fräsen']"
CMod_00000096479-A,23,14,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096493-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096500-A,18,9,5,0,4,0,0,0,0,,,,,,,4,6.0,6.0,6.0,0,0,1,1,1,7,1,0.7142857142857143,0.1,0.1,0.0999999999999999,"['drehen', 'fräsen']"
CMod_00000096510-A,22,12,3,5,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096514-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'bohren']"
CMod_00000096518-A,21,12,2,4,3,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096527-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096543-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,['drehen']
CMod_00000096553-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096559-A,22,11,3,5,3,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,5,2,0.6,0.05,0.1,0.08,"['drehen', 'fräsen']"
CMod_00000096615-A,22,13,3,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.8333333333333334,0.05,0.1,0.075,['drehen']
CMod_00000096620-A,33,15,6,10,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000096689-A,19,12,6,1,0,0,0,0,0,,,,,,,0,,,,1,0,1,1,1,10,1,0.9,0.1,0.2,0.19,"['drehen', 'fräsen']"
CMod_00000098986-A,32,22,6,1,3,1,2,0,0,,,,,,,7,16.0,100.0,41.285714285714285,1,1,0,1,1,11,2,0.6363636363636364,0.02,0.4,0.1090909090909091,['fräsen']
CMod_00000099473-A,22,12,5,4,1,0,2,0,1,0.25,0.25,0.25,,,,4,6.0,100.0,39.0,0,1,0,1,1,3,2,0.6666666666666666,0.03,0.4,0.16,['fräsen']
CMod_00000101127-A,23,13,4,4,2,0,0,0,0,,,,,,,0,,,,0,1,0,1,1,6,2,0.6666666666666666,0.05,0.1,0.0833333333333333,"['drehen', 'fräsen']"
CMod_00000101689-A,32,20,7,3,2,1,1,0,0,,,,,,,6,16.0,100.0,44.0,1,1,0,1,1,10,2,0.6,0.02,0.4,0.1149999999999999,['fräsen']
CMod_00000106349-A,5,4,1,0,0,0,0,0,0,,,,,,,1,25.0,25.0,25.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000106350-A,7,5,2,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000106470-A,7,7,0,0,0,0,0,0,2,0.1,0.1,0.1,,,,1,25.0,25.0,25.0,0,0,1,0,1,2,2,1.0,0.2,0.2,0.2,['drehen']
CMod_00000107358-A,54,31,6,8,9,0,0,0,0,,,,,,,0,,,,0,1,0,0,1,9,2,1.0,0.05,0.1,0.0666666666666666,['fräsen']
CMod_00000109129-A,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000110220-A,7,3,2,2,0,0,0,2,0,,,,0.5,1.0,0.75,0,,,,1,0,0,1,0,2,1,1.0,1.0,1.0,1.0,[]
CMod_00000110518-A,5,4,0,0,1,0,0,0,1,1.0,1.0,1.0,,,,0,,,,0,0,0,1,0,1,1,1.0,0.8,0.8,0.8,['fräsen']
CMod_00000110719-A,14,8,3,1,2,0,0,3,0,,,,0.5,1.0,0.8333333333333334,0,,,,0,0,0,1,0,1,1,1.0,0.5,0.5,0.5,['drehen']
CMod_00000110776-A,16,12,3,1,0,0,0,0,0,,,,,,,2,25.0,100.0,62.5,0,1,1,0,1,5,1,0.8,0.1,0.4,0.22,['fräsen']
CMod_00000182104,15,9,1,1,4,0,0,0,0,,,,,,,0,,,,0,0,0,1,0,2,1,0.5,0.1,0.2,0.15,"['drehen', 'fräsen']"
CMod_00000110886-A,14,7,4,1,2,0,0,3,0,,,,0.5,1.0,0.8333333333333334,0,,,,0,0,0,1,0,1,1,1.0,0.5,0.5,0.5,['drehen']
CMod_00000111046-A,5,4,0,0,1,0,0,0,0,,,,,,,0,,,,0,0,0,1,0,1,1,1.0,0.8,0.8,0.8,['fräsen']
CMod_00000111580-A,11,9,0,0,2,0,0,0,0,,,,,,,0,,,,0,0,0,1,0,2,2,1.0,0.5,0.5,0.5,['fräsen']
CMod_00000117618-A,7,6,0,0,1,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000117619-A,7,6,0,0,1,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000117620-A,9,6,0,2,1,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,[]
CMod_00000124256-A,13,9,2,1,1,0,0,0,0,,,,,,,0,,,,0,1,1,1,1,6,2,0.8333333333333334,0.05,0.1,0.0916666666666666,"['drehen', 'fräsen']"
CMod_00000125933-A,4,4,0,0,0,0,0,0,0,,,,,,,1,63.0,63.0,63.0,0,0,0,0,0,0,0,0.0,,,,['fräsen']
CMod_00000128275-A,41,30,6,3,2,3,0,0,7,0.1,0.2,0.1714285714285714,,,,10,25.0,63.0,40.2,1,1,1,1,0,9,1,0.8888888888888888,0.05,0.1,0.0944444444444444,['fräsen']
CMod_00000128704-A,11,5,3,3,0,0,0,0,0,,,,,,,1,16.0,16.0,16.0,1,1,1,1,0,6,1,0.1666666666666666,0.1,0.1,0.0999999999999999,"['drehen', 'bohren']"
CMod_00000128790-A,35,18,2,9,6,0,4,0,0,,,,,,,2,6.0,25.0,15.5,0,0,1,1,1,8,3,0.875,0.05,0.2,0.10625,"['drehen', 'fräsen']"
CMod_00000131358-A,15,11,0,3,1,2,1,0,3,0.2,0.2,0.2,,,,2,6.0,25.0,15.5,0,0,0,1,1,5,2,1.0,0.03,0.1,0.052,['drehen']
CMod_00000131939-A,37,22,11,1,3,5,2,1,6,0.2,0.2,0.1999999999999999,0.25,0.25,0.25,2,6.0,25.0,15.5,0,0,0,1,1,14,2,0.9285714285714286,0.03,0.5,0.1342857142857143,"['drehen', 'fräsen']"
CMod_00000136274-B,6,4,0,2,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,"['drehen', 'fräsen']"
CMod_00000136276-B,6,5,0,1,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,"['drehen', 'fräsen']"
CMod_00000138027-A,10,7,1,2,0,0,0,0,0,,,,,,,0,,,,0,0,0,0,0,0,0,0.0,,,,['fräsen']
